(Prefix (1092,1),(208,1)	
Parentheses (22,1),(1111,1),(1614,1),(2116,1)	
Parity (922,1)	
Parsing (1106,1)	
Partition (2035,1),(2369,1)	
Partners (1693,1)	
Pass (2582,1)	
Patching (330,1)	
Path (2065,1),(2245,1),(2267,1),(2304,1),(687,1),(1138,1),(1219,1),(1372,1)	
Paths (62,1),(1786,1),(2435,1),(2673,1)	
Pattern (459,1)	
Pencils (2240,1)	
People (1103,1),(1282,1),(2092,1),(2151,1)	
Perfect (391,1)	
Perimeter (1954,1)	
Period (1604,1)	
Permutation (567,1),(1409,1)	
Person (1204,1),(607,1),(849,1)	
Personal (831,1)	
Phone (1694,1)	
Pickup (1463,1)	
Pieces (2337,1)	
Pile (2558,1)	
Piles (2218,1)	
Pillow (2582,1)	
Pizza (1388,1)	
Placed (2018,1)	
Plants (2105,1),(2079,1)	
Players (1900,1)	
Playlists (920,1)	
Point (2543,1)	
Points (780,1)	
Popular (2456,1)	
Populating (117,1)	
Ports (1687,1)	
Position (34,1)	
Positive (1413,1),(1567,1),(41,1),(1237,1)	
Possible (1505,1)	
Postorder (145,1)	
Power (326,1),(869,1)	
Powerful (970,1)	
Powers (1780,1)	
Prefix (745,1),(1018,1),(2000,1),(2433,1),(2587,1),(2657,1)	
Prefixes (2255,1),(2640,1)	
Preorder (1008,1),(971,1)	
Price (2034,1)	
Prime (2601,1),(786,1)	
Primes (204,1)	
Print (1114,1),(2434,1)	
Printer (1591,1)	
Prison (957,1)	
Probability (1514,1)	
Problem (218,1)	
Process (1882,1),(2076,1)	
Product (2117,1),(713,1),(1068,1),(1464,1),(1567,1)	
Products (1045,1),(1757,1),(2064,1)	
Profit (1599,1)	
Projection (883,1)	
Prototype (2619,1)	
Pseudo-Critical (1489,1)	
Pyramid (756,1)	
Quadruplets (1995,1),(2552,1)	
Quality (1211,1),(2065,1)	
Queens (1222,1)	
Queries (2509,1),(985,1),(1409,1)	
Query (1829,1)	
Questions (2140,1)	
RLE (900,1)	
Rand10() (470,1)	
Rand7() (470,1)	
Random (528,1)	
Range (2438,1),(304,1),(715,1),(201,1)	
Ranges (228,1)	
Rank (1331,1),(1632,1),(178,1)	
Rational (972,1)	
Reach (2139,1)	
Reachable (2368,1)	
Reaching (780,1)	
Rearrange (1451,1),(1866,1),(2287,1)	
Recipes (2115,1)	
Recolors (2379,1)	
Reconstruct (1719,1)	
Reconstruction (406,1)	
Record (551,1)	
Rectangle (1240,1),(492,1),(85,1)	
Rectangles (497,1)	
Recyclable (1757,1)	
Redundant (685,1)	
Reflection (858,1)	
Reformat (1179,1)	
Regions (959,1)	
Relative (1122,1)	
Removals (1671,1),(2382,1)	
Remove (19,1),(1962,1),(2167,1),(2259,1),(26,1),(402,1),(80,1)	
Removed (947,1)	
Removing (1619,1),(2171,1)	
Reorder (937,1)	
Reorganize (767,1)	
Repeated (459,1),(686,1),(187,1)	
Repeating (1655,1)	
Replace (1234,1),(1894,1),(833,1)	
Replacement (424,1)	
Replacements (2366,1)	
Report (1731,1)	
Required (2203,1),(2412,1)	
Respecting (1203,1)	
Restaurant (1321,1)	
Restore (1416,1)	
Restrictions (2368,1)	
Resultant (2273,1)	
Reverse (2442,1),(493,1),(541,1)	
Reversing (1460,1)	
Richest (1672,1)	
Rising (778,1)	
Road (2211,1)	
Roads (2285,1)	
Rob (2100,1)	
Robber (198,1),(213,1)	
Robot (1041,1)	
Rolls (1155,1),(2350,1)	
Rook (999,1)	
Rooms (1997,1)	
Root (129,1)	
Rotate (61,1)	
Rotated (153,1),(1752,1),(788,1)	
Routes (1575,1),(815,1)	
Row (2482,1)	
Rows (1439,1)	
Run-Length (1313,1)	
Safe (753,1)	
Salaries (185,1)	
Salary (176,1)	
Same (1726,1),(2440,1),(947,1)	
Save (881,1)	
Say (38,1)	
Schedule (1462,1),(630,1)	
Scheduler (621,1)	
Schemes (879,1)	
Score (798,1),(1537,1),(1717,1),(2321,1),(2530,1),(2644,1),(1753,1),(1793,1),(2545,1),(2567,1),(2640,1)	
Scores (2223,1)	
Search (33,1),(95,1),(1038,1),(109,1),(240,1),(897,1),(99,1),(1382,1),(211,1),(501,1)	
Seats (626,1)	
Sector (1560,1)	
Segments (1621,1)	
Select (2222,1)	
Sell (121,1),(309,1)	
Selling (2312,1)	
Sentence (1451,1),(1455,1),(1859,1)	
Sentences (2114,1),(884,1)	
Sequence (1622,1),(1718,1)	
Sequences (2145,1),(2318,1)	
Serialize (297,1)	
Servers (1267,1)	
Set (2336,1),(73,1)	
Shortest (862,1),(943,1),(2642,1)	
Shuffle (384,1)	
Sightseeing (1014,1)	
Sign (764,1)	
Similar (1750,1),(2506,1)	
Single (619,1)	
Single-Threaded (1834,1)	
Size (793,1),(1343,1),(757,1)	
Skips (1883,1)	
Skyline (807,1)	
Slashes (959,1)	
Smallest (1015,1),(1125,1),(1202,1),(2030,1),(2375,1),(719,1),(865,1),(1334,1),(230,1),(2434,1),(373,1),(483,1),(744,1)	
Smooth (2110,1)	
Solution (1237,1)	
Solving (2019,1)	
Some (1269,1)	
Sort (451,1),(75,1),(147,1)	
Sorted (108,1),(1439,1),(23,1),(81,1),(944,1),(955,1),(977,1),(1574,1),(34,1),(540,1),(768,1)	
Sorting (969,1)	
Space (1889,1),(1959,1)	
Spaces (1592,1)	
Special (1873,1)	
Spellchecker (966,1)	
Spiral (2326,1),(885,1)	
Split (1221,1),(1573,1),(2178,1),(2468,1),(2578,1),(659,1),(725,1),(842,1)	
Spread (924,1),(928,1)	
Sqrt(x) (69,1)	
Square (1725,1),(221,1),(1277,1)	
Square-Free (2572,1)	
Squared (2333,1)	
Squares (2013,1),(699,1)	
Stack (895,1)	
Stacks (1172,1)	
Stadium (601,1)	
Star (1791,1)	
Steps (1347,1),(2106,1),(2186,1),(2289,1)	
Sticks (1866,2)	
Stock (123,1),(714,1),(901,1)	
Stone (1510,1),(1686,1)	
Stones (947,1)	
Strange (664,1)	
Stream (295,1),(703,1)	
Strength (2281,1)	
Strictly (2396,1)	
String (151,1),(1585,1),(2182,1),(2278,1),(2337,1),(2575,1),(2663,1),(1790,1),(1963,1),(1417,1),(984,1),(1864,1),(434,1),(2380,1),(926,1),(1541,1),(1662,1),(1750,1),(2267,1),(2609,1),(438,1),(1545,1),(1945,1),(467,1),(988,1),(1758,1),(2645,1),(481,1)	
Strings (1397,1),(1768,1),(2060,1),(2068,1),(893,1),(1111,1),(1221,1),(1247,1)	
Strongest (1471,1)	
Student (551,1)	
Students (2512,1),(2545,1),(596,1)	
Sub-arrays (1477,1)	
Subarray (1310,1),(1493,1),(1567,1),(1574,1),(2090,1),(643,1),(713,1)	
Subarrays (930,1),(992,1),(1526,1),(1588,1),(1764,1)	
Subdomain (811,1)	
Submatrices (1074,1),(1504,1)	
Submatrix (1727,1)	
Subsequence (1143,1),(2030,1),(300,1),(674,1)	
Subsequences (1458,1),(1498,1),(2484,1),(491,1),(730,1),(792,1)	
Subset (1982,1)	
Subsets (1994,1),(90,1)	
Substring (395,1),(1044,1),(1668,1),(2272,1),(3,1),(76,1),(1297,1),(1624,1),(1763,1),(1910,1)	
Substrings (1960,1),(2062,1),(1513,1),(1520,1),(1593,1),(1638,1),(1759,1),(1876,1)	
Such (2294,1)	
Sudoku (36,1)	
Suffix (2120,1)	
Sum (1835,1),(2535,2),(1262,1),(2281,1),(834,1),(2223,1),(2333,1),(599,1),(698,1),(1,1),(1439,1),(2160,1),(2395,1),(416,1),(1013,1),(1589,1),(2443,1),(2652,1),(371,1),(1879,1),(1945,1),(2461,1),(1031,1),(1413,1),(1927,1),(1314,1),(2656,1),(508,1)	
Sums (2163,1),(974,1),(1508,1),(1878,1)	
Super (313,1)	
Superstring (943,1)	
Swap (627,1),(670,1),(777,1)	
Swapping (1721,1)	
Swaps (1850,1),(2231,1)	
Switcher (672,1)	
System (1396,1),(2353,1),(609,1),(1268,1)	
T (1377,1)	
Target (1354,1),(1981,1),(2139,1),(797,1)	
Targets (2453,1)	
Task (2432,1),(621,1)	
Tasks (1665,1),(2071,1),(2244,1),(2589,1)	
Taxi (2008,1)	
Team (1383,1),(1626,1)	
Text (2296,1)	
Texts (2266,1)	
Than (1365,1),(1608,1),(2311,1),(713,1)	
That (2441,1),(2511,1),(1374,1),(1606,1),(2177,1),(2294,1)	
The (1338,1),(1356,1),(1378,1),(1415,1),(1484,1),(1488,1),(1994,1),(1217,1)	
Their (181,1),(2545,1)	
There (1391,1)	
Three (927,1),(185,1),(1878,1)	
Threshold (1343,1)	
Time (1974,1),(2391,1),(1266,1),(1578,1),(1736,1),(188,1),(122,1),(1376,1),(2380,1),(636,1)	
Times (1375,1),(1566,1)	
Title (2129,1)	
To (1022,1),(1282,1),(1330,1),(2423,1),(971,1),(982,1),(1011,1)	
Top (692,1)	
Topmost (2202,1)	
Total (477,1),(1010,1),(2462,1),(2499,1),(2646,1)	
Tour (2596,1)	
Tournament (1688,1)	
Tower (799,1)	
Tracker (2671,1)	
Traffic (601,1)	
Transaction (714,1)	
Transactions (1581,1)	
Transform (2635,1)	
Trapping (407,1)	
Traversal (105,1),(145,1),(589,1)	
Tree (606,1),(998,1),(257,1),(2385,1),(2583,1),(987,1),(1766,1),(1373,1),(297,1),(1443,1),(1483,1),(1609,1),(543,1),(572,1),(671,1),(701,1),(965,1),(107,1),(1993,1),(2415,1),(1719,1),(114,1),(958,1),(110,1),(235,1),(590,1),(103,1)	
Trees (1305,1),(872,1),(894,1)	
Triangle (611,1)	
Triangular (2221,1)	
Triangulation (1039,1)	
Trimmed (2343,1)	
Triples (1925,1),(982,1)	
Triplets (1442,1),(1534,1),(2179,1)	
Trips (262,1)	
Tromino (790,1)	
Truck (1710,1)	
Tuple (1726,1)	
Twin (2130,1)	
Two (1616,1),(2040,1),(2657,1),(583,1),(1913,1),(1960,1),(231,1),(712,1),(1029,1),(2154,1),(2235,1),(653,1),(884,1),(1458,1),(349,1),(4,1),(558,1),(617,1)	
Type (1935,1)	
Typewriter (1974,1)	
Ugly (263,1)	
Uni-Value (2033,1)	
Unique (980,1),(1930,1),(357,1),(467,1),(63,1),(96,1)	
Units (1710,1)	
Univalue (687,1)	
Unreachable (2316,1)	
Uploaded (2424,1)	
Users (1517,1)	
VI (1686,1)	
VII (1690,1)	
Valid (242,1),(921,1),(903,1),(1605,1),(1964,1),(367,1),(2437,1),(1249,1),(1359,1),(20,1),(1517,1),(1003,1),(125,1),(1391,1)	
Validation (393,1)	
Value (2562,1),(1385,1),(1499,1),(2496,1),(2500,1),(2540,1),(513,1),(1330,1),(1521,1),(1738,1),(2218,1),(2283,1)	
Values (1252,1),(2154,1),(1090,1)	
Varying (2334,1)	
Verify (331,1)	
Verifying (953,1)	
Version (165,1)	
Vertical (1465,1),(987,1)	
Video (1024,1)	
View (199,1)	
Views (1148,1)	
Visible (1610,1),(1944,1)	
Visiting (847,1)	
Vowel (2559,1)	
Vowels (345,1)	
Waiting (1701,1)	
Wall (554,1)	
Waste (1276,1)	
Watch (401,1)	
Ways (1577,1),(1735,1),(2222,1),(2585,1),(91,1),(1269,1),(1573,1),(1977,1),(2240,1),(1434,1)	
Weight (1049,1)	
Weighted (2203,1)	
Well-Performing (1124,1)	
Where (1420,1),(1970,1)	
Who (1045,1)	
Whose (1414,1)	
Width (662,1)	
Will (1894,1)	
Winner (1275,1)	
With (2275,1),(2411,1),(2507,1),(2606,1),(2217,1),(1803,1),(1865,1),(2099,1),(2246,1),(2389,1),(2444,1),(1513,1),(2440,1),(2488,1),(2642,1),(1968,1),(1524,1),(2334,1),(1388,1),(1931,1),(2419,1),(1663,1),(1546,1),(1627,1),(2279,1),(1010,1),(2374,1),(2392,1),(2565,1),(1517,1)	
Within (1011,1),(2452,1)	
Wonderful (1915,1)	
Word (2000,1),(79,1),(819,1),(1003,1)	
Words (2085,1),(2452,1),(472,1),(557,1),(692,1),(1451,1),(1880,1)	
X (914,1)	
XOR (1486,1),(2425,1),(2564,1),(1310,1),(1442,1),(1707,1),(1787,1),(1835,1),(1879,1),(2429,1)	
XORed (1720,1)	
You (1420,1),(1798,1),(1970,1)	
Zero (1342,1),(1658,1)	
Zero-Filled (2348,1)	
Zeroes (172,1)	
Zeros (2245,1)	
Zigzag (1144,1),(6,1),(1104,1)	
a (1374,1),(1547,1),(2269,1),(2360,1),(700,1),(1239,1),(1253,1),(1293,1),(2328,1),(1639,2),(2515,1),(2526,1),(1275,1),(1404,1),(1521,2),(2353,1),(2467,1),(1161,1),(1433,1),(1451,1),(1785,1),(2566,1),(2610,1),(1455,3),(2342,1),(1503,1),(1334,1),(1444,1),(1536,1),(1312,1),(1327,1),(2658,1),(557,1),(1796,1),(2243,1),(2030,1),(2492,1),(2496,1),(450,1),(1910,1),(1914,1),(2207,1),(2481,1),(2306,1),(2577,2),(821,1),(1381,1),(1664,1),(2096,1),(2177,1),(230,1),(2434,1),(1525,1),(1855,1),(2603,1),(1594,1),(2155,1),(2430,1),(1297,1),(1961,1),(1422,1),(2119,1)	
all (865,1)	
allowed (381,1)	
an (1523,1),(1916,1),(2535,1),(2553,1),(1471,1),(1707,1),(1394,1),(1464,1),(1486,1),(2025,1),(2179,1),(2212,1),(2571,1),(2241,1),(2593,1)	
and (889,1),(1280,1),(1509,1),(38,1),(717,1),(771,1),(841,1),(1211,1),(1981,1),(2300,1),(2443,1),(122,1),(1846,1),(2164,1),(2227,1),(474,1),(775,1),(1343,1),(188,1),(2058,1),(2535,1),(34,1),(449,1)	
array (2140,1),(766,1),(924,1),(1239,1),(1356,1),(1855,1),(2577,1),(1275,1),(2416,1),(641,1),(2368,1),(2382,1),(931,1),(2126,1),(2672,1),(832,1),(2166,1),(315,1),(399,1),(1547,1),(1701,1),(2412,1),(1514,1),(1385,1),(1499,1),(1642,1),(407,1),(560,1),(1051,1),(135,1),(164,1),(2397,1),(2607,1),(274,1),(674,1),(1004,1),(128,1),(1770,1),(2317,1),(2511,1),(300,1),(380,1),(384,1),(1073,1),(1664,1),(1675,1),(2294,1),(2515,1),(1598,1),(1048,1),(1895,1),(902,1),(1011,1),(1705,1),(1862,1),(2115,1),(2540,1),(704,1),(1480,1),(1774,1),(2272,1),(748,1),(1671,1),(2470,1),(528,1),(795,1),(1572,1),(2070,1),(2104,1),(2218,1),(2386,1),(2661,1),(391,1),(1833,1),(722,1),(982,1),(2111,1),(454,1),(506,1),(667,1),(2195,1),(2580,1),(1000,1),(1473,1),(1785,1),(289,1),(472,1),(1169,1),(1477,1),(153,1),(1583,1),(2151,1),(216,1),(377,1),(517,1),(1008,1),(645,1),(630,1),(1536,1),(1727,1),(2056,1),(2401,1),(542,1),(1363,1),(1217,1),(1301,1),(1734,1),(1752,1),(2089,1),(2100,1),(212,1),(106,1),(90,1),(942,1),(403,1),(1697,1),(2001,1),(1631,1),(810,1),(2610,1),(2078,1),(2290,1),(2463,1),(861,1),(2049,1),(2085,1),(373,1),(498,1),(719,1),(1899,1),(1187,1),(1260,1),(1594,1),(1792,1),(1921,1),(2658,1),(890,1),(1125,1),(1848,1),(2225,1),(1491,1),(1679,1),(960,1),(1444,1),(898,1),(2537,1),(436,1),(689,1),(744,1),(209,1),(2441,1),(2496,1),(410,1),(850,1),(1389,1),(1936,1),(1943,1),(1914,1),(2221,1),(1381,1),(553,1),(1738,1),(1929,1),(2302,1),(2357,1),(238,1),(2555,1),(54,1),(1723,1),(803,1),(1349,1),(2144,1),(1019,1),(2614,1),(494,1),(2500,1),(1840,1),(1961,1),(2250,1),(2452,1),(2562,1),(997,1),(1606,1),(1338,1),(2188,1),(2456,1),(2654,1),(304,1),(36,1),(986,1),(1037,1),(1639,1),(843,1),(1620,1),(1998,1),(2210,1),(539,1),(1235,1),(179,1),(2108,1),(939,1),(120,1),(1994,1),(2364,1),(2467,1),(2603,1),(421,1),(447,1),(1293,1),(975,1),(1095,1),(1712,1),(1749,1),(2335,1),(821,1),(1521,1),(1686,1),(1800,1),(2009,1),(2588,1),(825,1),(1224,1),(139,1),(1352,1),(2016,1),(2155,1),(883,1),(1408,1),(2148,1),(1569,1),(1590,1),(2342,1),(2449,1),(2559,1),(575,1),(1558,1),(2551,1),(2133,1),(605,1),(1330,1),(1253,1),(1958,1),(2643,1),(546,1),(953,1),(1040,1),(1815,1),(1947,1),(2023,1),(609,1),(946,1),(957,1),(1091,1),(2306,1),(928,1),(1345,1),(2012,1),(2438,1),(733,1),(1488,1),(524,1),(773,1),(1282,1),(1822,1),(1851,1),(2122,1),(2258,1),(2328,1),(2584,1),(414,1),(1819,1),(502,1),(1503,1),(1646,1),(807,1),(1437,1),(2261,1),(47,1),(1550,1),(18,1),(1877,1),(638,1),(740,1),(1561,1),(2191,1),(322,1),(1268,1)	
as (352,1),(558,1)	
at (1437,1),(1976,1),(2522,1),(1334,1)	
backtracking (282,1),(46,1),(1986,1),(39,1),(491,1),(1238,1),(1601,1),(1799,1),(2044,1),(2048,1),(2305,1),(79,1),(93,1),(1593,1),(17,1),(257,1),(301,1),(473,1),(679,1)	
binary-indexed-tree (493,1),(673,1),(1409,1),(2424,1),(2552,1),(2659,1),(307,1),(406,1)	
binary-search (2040,1),(888,1),(374,1),(2583,1),(349,1),(4,1),(400,1),(1351,1),(1847,1),(1894,1),(2008,1),(2389,1),(778,1),(1146,1),(1337,1),(1539,1),(367,1),(1300,1),(1964,1),(2426,1),(862,1),(1157,1),(154,1),(1751,1),(2055,1),(2602,1),(2617,1),(1483,1),(2271,1),(2411,1),(2448,1),(2554,1),(826,1),(1898,1),(2187,1),(2529,1),(268,1),(352,1),(1201,1),(2594,1),(1649,1),(2080,1),(35,1),(378,1),(668,1),(1348,1),(1818,1),(2286,1),(2565,1),(1292,1),(275,1),(532,1),(1498,1),(2576,1),(327,1),(363,1)	
binary-search-tree (450,1),(700,1),(98,1),(1008,1),(1305,1),(1569,1),(230,1)	
binary-tree (1339,1),(112,1),(116,1),(2196,1),(226,1),(783,1),(897,1),(109,1),(1379,1),(1382,1),(95,1),(99,1),(222,1),(2509,1),(655,1),(101,1),(1104,1),(2471,1),(563,1),(662,1),(1302,1),(2673,1),(530,1),(938,1),(1038,1),(105,1),(1261,1),(145,1),(501,1),(538,1),(703,1),(637,1)	
bit-manipulation (2135,1),(2212,1),(2429,1),(393,1),(397,1),(1284,1),(1442,1),(1611,1),(1684,1),(2157,1),(782,1),(980,1),(1310,1),(1787,1),(401,1),(78,1),(805,1),(1659,1),(1707,1),(2425,1),(2546,1),(405,1),(526,1),(672,1),(698,1),(1655,1),(779,1),(1318,1),(1680,1),(1835,1),(89,1),(995,1),(1255,1),(1938,1),(2571,1),(287,1),(342,1),(1457,1),(191,1),(2322,1),(1486,1),(137,1),(1879,1),(2564,1),(2568,1),(371,1),(67,1),(1178,1)	
bitmask (1125,1),(1349,1),(638,1),(1994,1),(847,1),(1617,1),(1723,1),(1815,1),(1947,1)	
breadth-first-search (675,1),(958,1),(1263,1),(1443,1),(529,1),(547,1),(103,1),(1391,1),(404,1),(994,1),(965,1),(2503,1),(279,1),(749,1),(752,1),(301,1),(617,1),(653,1),(756,1),(1319,1),(1971,1),(2059,1),(2385,1),(987,1),(433,1),(785,1),(815,1),(1036,1),(1766,1),(1993,1),(297,1),(2415,1),(2477,1),(1311,1),(1315,1),(1377,1),(1609,1),(2316,1),(2583,1),(488,1),(514,1),(107,1),(1267,1),(1483,1),(1568,1),(778,1)	
bucket-sort (164,1),(692,1)	
by (2357,1),(2397,1),(2566,1),(1015,1),(1356,1),(1590,1),(1741,1),(2232,1)	
c (1318,1)	
combinatorics (1569,1),(1866,1),(2063,1),(2221,1),(458,1),(920,1)	
concurrency (1226,1),(1116,1)	
counting (1370,1),(1419,1),(2001,1),(2085,1),(2225,1),(2416,1),(2423,1),(869,1),(1400,1),(1819,1),(2283,1),(2526,1),(692,1),(1356,1),(2287,1),(1781,1)	
counting-sort (561,1)	
data-stream (2102,1),(933,1)	
database (1327,1),(182,1),(197,1),(586,1),(1158,1),(1741,1),(1873,1),(601,1),(627,1),(1084,1),(1484,1),(1587,1),(1693,1),(175,1),(1789,1),(1965,1),(1341,1),(1907,1),(1378,1)	
depth-first-search (2265,1),(2328,1),(733,1),(2360,1),(2368,1),(2658,1),(623,1),(685,1),(1161,1),(1932,1),(2096,1),(928,1),(1026,1),(1305,1),(2492,1),(1466,1),(230,1),(2467,1),(98,1),(1080,1),(124,1),(1448,1),(472,1),(993,1),(1110,1),(1202,1),(388,1),(1631,1),(513,1),(872,1),(971,1),(979,1),(1022,1),(113,1),(1367,1),(2092,1),(337,1),(399,1),(652,1),(924,1),(117,1),(1462,1),(2049,1),(94,1),(968,1),(2331,1),(814,1),(865,1)	
design (297,1),(381,1),(1825,1),(1993,1),(2080,1),(2349,1),(2642,1),(352,1),(855,1),(1348,1),(1476,1),(1670,1),(1865,1),(705,1),(745,1),(1483,1),(1656,1),(1157,1),(1472,1),(2286,1),(2671,1),(341,1),(895,1),(1032,1),(1146,1)	
divide-and-conquer (191,1),(1985,1),(2179,1),(2407,1),(654,1),(889,1),(108,1),(148,1),(218,1),(23,1),(324,1),(427,1),(973,1)	
doubly-linked-list (1472,1)	
dynamic-programming (1277,1),(2380,1),(805,1),(122,1),(1857,1),(2050,1),(2407,1),(2472,1),(746,1),(1024,1),(1130,1),(1578,1),(1981,1),(801,1),(1420,1),(188,1),(2209,1),(474,1),(838,1),(1387,1),(1626,1),(1659,1),(1691,1),(1916,1),(629,1),(650,1),(2311,1),(926,1),(1105,1),(119,1),(1493,1),(313,1),(368,1),(5,1),(115,1),(1240,1),(1655,1),(2304,1),(2571,1),(63,1),(647,1),(1262,1),(1567,1),(2054,1),(764,1),(940,1),(96,1),(1035,1),(1824,1),(45,1),(1402,1),(221,1),(2645,1),(375,1),(698,1),(85,1),(1031,1),(140,1),(1406,1),(1563,1),(526,1),(823,1),(1372,1),(357,1),(70,2),(845,1),(2597,1),(1039,1),(1255,1),(1787,1),(1879,1),(2003,1),(467,1),(1611,1),(2267,1),(397,1),(416,1),(834,1)	
enumeration (2212,1),(2249,1),(2443,1),(2605,1),(1534,1),(2014,1),(2094,1),(845,1),(1291,1),(2018,1),(2025,1)	
eulerian-circuit (753,1)	
for (1286,1),(1789,1),(2070,1)	
from (606,1),(82,1),(884,1),(1171,1),(1920,1)	
game-theory (1025,1),(1872,1),(877,1)	
geometry (587,1)	
graph (2662,1),(882,1),(1298,1),(2127,1),(2493,1),(310,1),(802,1),(1591,1),(2039,1),(2608,1),(332,1),(787,1),(1632,1),(1368,1),(1728,1),(1786,1),(2097,1),(886,1),(1203,1),(765,1),(1489,1),(329,1),(1782,1),(2101,1),(2497,1),(684,1),(743,1),(1584,1),(2192,1)	
greedy (406,1),(420,1),(1386,1),(1838,1),(2457,1),(402,1),(1081,1),(1247,1),(2439,1),(1775,1),(2310,1),(1647,1),(2116,1),(2178,1),(2350,1),(2486,1),(659,1),(1221,1),(1481,1),(769,1),(2589,1),(2592,1),(435,1),(44,1),(55,1),(1713,1),(1739,1),(871,1),(1382,1),(2673,1),(11,1),(2141,1),(2086,1),(714,1),(1405,1),(1717,1),(2406,1),(2541,1),(2659,1),(581,1),(680,1),(134,1),(1526,1),(2233,1),(2259,1),(2567,1),(611,1),(846,1),(860,1),(1005,1),(1827,1),(2208,1),(2244,1),(2600,1),(321,1),(857,1),(1665,1),(2170,1),(1764,1),(2358,1),(2383,1),(2611,1),(1537,1),(1753,1),(2071,1),(2497,1),(376,1),(765,1),(1632,1),(1881,1),(1353,1),(2578,1),(1702,1),(2530,1),(945,1),(1144,1),(1328,1)	
hash-function (706,1),(1923,1),(214,1),(2223,1)	
hash-table (692,1),(160,1),(1624,1),(1932,1),(2441,1),(939,1),(139,1),(1477,1),(2133,1),(2456,1),(447,1),(535,1),(645,1),(957,1),(128,1),(2122,1),(2540,1),(2661,1),(76,1),(1282,1),(1657,1),(2364,1),(355,1),(2405,1),(2423,1),(2610,1),(380,1),(106,1),(1396,1),(1400,1),(1590,1),(652,1),(748,1),(791,1),(1763,1),(2287,1),(454,1),(2225,1),(2368,1),(2588,1),(36,1),(1679,1),(205,1),(953,1),(890,1),(1297,1),(2115,1),(2537,1),(2584,1),(2434,1),(421,1),(575,1),(1202,1),(1275,1),(1796,1),(2261,1),(2342,1),(2526,1),(395,1),(609,1),(1015,1),(1345,1),(142,1),(146,1),(2353,1),(865,1),(1781,1),(2001,1),(2085,1),(2166,1),(726,1),(1048,1),(1370,1),(2034,1),(432,1),(740,1),(1338,1),(2283,1),(2508,1),(3,1),(2306,1),(2357,1),(560,1),(1169,1),(1172,1),(1224,1),(1488,1),(982,1),(997,1)	
heap-priority-queue (1705,1),(1851,1),(2456,1),(373,1),(407,1),(2357,1),(2386,1),(1172,1),(1606,1),(1686,1),(1738,1),(2290,1),(2335,1),(692,1),(1338,1),(2342,1),(506,1),(1631,1),(502,1),(1514,1),(1792,1),(2353,1),(1499,1),(1642,1),(1675,1),(2034,1),(2551,1),(2577,1),(630,1),(1488,1),(355,1)	
if (1893,1),(1941,1),(2018,1),(2124,1),(2267,1),(2319,1),(1790,1)	
in (1464,1),(1471,1),(1523,1),(151,1),(1545,1),(2003,1),(2087,1),(2373,1),(937,1),(1916,1),(2047,1),(2197,1),(2212,1),(434,1),(1761,1),(1857,1),(1839,1),(1163,1),(1604,1),(2120,1),(2179,1),(2304,1),(1688,1),(1802,1),(720,1),(779,1),(1457,1),(438,1),(478,1),(515,1),(852,1),(34,1),(845,1),(863,1),(1204,1),(1486,1),(1509,1),(1893,1),(1996,1),(2553,1),(467,1),(1967,1),(2641,1),(1475,1),(2586,1),(1372,1),(1985,1),(2278,1),(834,1),(1192,1),(540,1),(1394,1),(2476,1),(1721,1),(2245,1),(81,1)	
into (659,1),(842,1)	
is (1391,1),(1780,1),(653,1)	
iterator (341,1)	
k (2014,1),(23,1),(1471,1),(1497,1)	
k-Group (25,1)	
line-sweep (1851,1),(391,1),(850,1)	
linked-list (138,1),(2181,1),(237,1),(460,1),(707,1),(817,1),(109,1),(116,1),(725,1),(141,1),(1669,1),(622,1),(1290,1),(19,1),(2,1),(2130,1)	
math (640,1),(1137,1),(1739,1),(1878,1),(2527,1),(453,1),(479,1),(1401,1),(1863,1),(2266,1),(2310,1),(2358,1),(390,1),(62,1),(66,1),(2651,1),(710,1),(970,1),(1643,1),(1896,1),(1904,1),(2457,1),(2523,1),(343,1),(1104,1),(1232,1),(1250,1),(1753,1),(2101,1),(2413,1),(2541,1),(633,1),(1478,1),(1573,1),(1830,1),(1922,1),(2178,1),(1577,1),(1742,1),(2240,1),(2600,1),(48,1),(556,1),(963,1),(1492,1),(189,1),(233,1),(273,1),(486,1),(996,1),(1342,1),(1588,1),(1823,1),(509,1),(989,1),(1317,1),(204,1),(365,1),(1621,1),(1728,1),(398,1),(497,1),(592,1),(1012,1),(1515,1),(1610,1),(2,1),(2280,1),(927,1),(952,1),(1247,1),(149,1),(1690,1),(2442,1),(2549,1),(1030,1),(1276,1),(1290,1),(1735,1),(523,1),(2376,1),(2578,1),(1041,1),(1140,1),(1467,1),(1812,1),(2028,1),(1360,1),(1551,1),(372,1),(464,1),(754,1)	
matrix (1992,1),(2326,1),(661,1),(1901,1),(1981,1),(2304,1),(1277,1),(221,1),(1439,1),(1970,1),(2267,1),(566,1),(827,1),(1219,1),(1329,1),(63,1),(782,1),(1905,1),(2087,1),(1284,1),(1886,1),(2245,1),(427,1),(74,1),(85,1),(1020,1),(1222,1),(885,1),(892,1),(999,1),(1314,1),(2146,1),(867,1),(2319,1),(2373,1),(463,1),(980,1),(1765,1),(2018,1)	
memoization (2318,1),(329,1),(464,1),(509,1),(1137,1),(1728,1),(1900,1)	
merge-sort (315,1)	
minimum-spanning-tree (1489,1),(1584,1)	
